corpus	doc	classify_exit	classify_code	extract_exit	extract_code	extract_message	pages_authorized	pages_processed	pages_failed	pages_unsupported	pages_quarantined	pages_not_attempted	terminal	limitation_codes	artifact_bytes	extract_wall_s
engine	annotation-contents/document.pdf	1		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	14169	0.014
engine	background-panel-not-a-grid/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;ruled-table-candidate-refused;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	12066	0.015
engine	both-table-rules/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	14994	0.014
engine	broken-font-encoding/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;broken-font-encoding;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	11949	0.013
engine	composite-font-cid-widths/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;composite-font-codes-from-tounicode;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	11010	0.012
engine	composite-font-non-identity-cmap/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;composite-font-codes-from-tounicode;font-widths-absent;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	13471	0.011
engine	crop-box-smaller-than-media/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;off-page-text;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	10941	0.013
engine	form-field-value/document.pdf	1		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	13731	0.012
engine	form-orphan-widget/document.pdf	1		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-field-parent-unresolved;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	14316	0.013
engine	form-xfa-stub/document.pdf	1		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;non-text-nodes-not-projected;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent;xfa-forms-not-extracted	14370	0.012
